Thinker,Frequency
Aristotle, 23
Freud,9
Jung,10
Plato,15
Heidegger,2
Gadamer,17
Johnson,7
Marx,29
Lenin,2
Kato, 17
Cicero, 10
Hobb, 19
Xenophon, 13
